,Unnamed: 0,movie,year,composer,domestic_total_gross,foreign_total_gross,runtime,worldwide,budget,genre,metascore,oscar,other,rating,top_15
0,0,Titanic,1997,James Horner,659363944,1528100000,194,2187463944,200000000,Drama,75.0,1.0,1.0,7.8,1
1,1,Men in Black,1997,Danny Elfman,250690539,338700000,97,589390539,90000000,Adventure,71.0,1.0,1.0,7.3,1
2,2,The Lost World: Jurassic Park,1997,John Williams,229086679,389552320,129,618638999,73000000,Action,59.0,1.0,1.0,6.5,1
3,3,Liar Liar,1997,John Debney,181410615,121300000,86,302710615,45000000,Comedy,70.0,0.0,1.0,6.9,1
4,4,Air Force One,1997,Jerry Goldsmith,172956409,142200000,124,315156409,85000000,Action,61.0,0.0,1.0,6.5,1
5,5,As Good as It Gets,1997,Hans Zimmer,148478011,165700000,139,314178011,50000000,Comedy,67.0,1.0,1.0,7.7,1
6,6,Good Will Hunting,1997,Danny Elfman,138433435,87500000,126,225933435,10000000,Drama,70.0,1.0,1.0,8.3,1
7,7,My Best Friend's Wedding,1997,James Newton Howard,127120029,172168576,105,299288605,38000000,Comedy,50.0,0.0,1.0,6.3,1
8,8,Tomorrow Never Dies,1997,David Arnold,125304276,207706792,119,333011068,110000000,Action,52.0,0.0,1.0,6.5,0
9,9,Face/Off,1997,John Powell,112276146,133400000,138,245676146,80000000,Action,82.0,0.0,1.0,7.3,0
10,10,Batman and Robin,1997,Elliot Goldenthal,107325195,130881927,125,238207122,125000000,Action,28.0,0.0,1.0,3.7,0
11,11,George of the Jungle,1997,Marc Shaiman,105263257,69200000,92,174463257,55000000,Action,53.0,0.0,1.0,5.4,0
12,12,Scream 2,1997,Marco Beltrami,101363301,71000000,120,172363301,24000000,Horror,63.0,0.0,1.0,6.1,0
13,13,Con Air,1997,Trevor Rabin,101117573,122894661,115,224012234,75000000,Action,52.0,0.0,1.0,6.8,0
14,14,Contact,1997,Alan Silvestri,100920329,70200000,150,171120329,90000000,Drama,62.0,0.0,1.0,7.4,1
15,15,Hercules,1997,Alan Menken,99112101,153600000,92,252712101,85000000,Animation,74.0,0.0,1.0,7.3,0
17,17,Flubber,1997,Danny Elfman,92977226,85000000,93,177977226,80000000,Comedy,37.0,0.0,1.0,5.2,1
18,18,Conspiracy Theory,1997,Carter Burwell,75982834,61000000,129,136982834,80000000,Action,49.0,0.0,1.0,6.7,0
19,19,I Know What You Did Last Summer,1997,John Debney,72586134,53000000,101,125586134,17000000,Action,52.0,0.0,1.0,5.7,1
20,20,Dante's Peak,1997,John Frizzell,67127760,111000000,109,178127760,116000000,Action,43.0,0.0,1.0,5.9,0
21,21,Anaconda,1997,Randy Edelman,65885767,71000000,89,136885767,45000000,Action,37.0,0.0,1.0,4.7,0
22,22,L.A. Confidential,1997,Jerry Goldsmith,64616940,61600000,138,126216940,35000000,Crime,90.0,1.0,1.0,8.3,1
23,23,In & Out,1997,Marc Shaiman,63856929,57895330,92,120072577,35000000,Comedy,70.0,0.0,1.0,6.3,0
24,24,The Fifth Element,1997,None,63820180,200100000,126,263920180,95000000,Action,52.0,0.0,1.0,7.7,0
25,25,Mousehunt,1997,Alan Silvestri,61917389,60500000,97,122417389,38000000,Comedy,54.0,0.0,1.0,6.4,1
26,26,The Saint,1997,Graeme Revell,61363304,56700000,118,118063304,90000000,Action,53.93963254593176,0.0,0.0,4.9,0
27,27,The Devil's Advocate,1997,James Newton Howard,60944660,92000000,144,152944660,45000000,Drama,60.0,0.0,1.0,7.5,1
28,28,Kiss the Girls,1997,Mark Isham,60527873,57895330,117,120072577,27000000,Drama,46.0,0.0,0.0,6.6,0
